631575.535246 225016.844791 176.792725 137.572128 255:253:000
631578.275631 225018.065566 179.792725 137.425735 255:255:000
631581.016016 225019.286341 182.792725 137.213348 251:255:000
631583.756401 225020.507115 185.792725 137.213348 251:255:000
631586.496786 225021.727890 188.792725 136.920288 244:255:000
631589.237171 225022.948665 191.792725 136.625839 237:255:000
631591.977555 225024.169439 194.792725 136.336761 230:255:000
631594.717940 225025.390214 197.792725 136.098953 224:255:000
631597.458325 225026.610989 200.792725 135.882156 219:255:000
631600.198710 225027.831764 203.792725 136.039536 223:255:000
631602.939095 225029.052538 206.792725 136.134827 225:255:000
631605.679480 225030.273313 209.792725 136.592606 236:255:000
631608.419865 225031.494088 212.792725 136.623383 237:255:000
631611.160249 225032.714862 215.792725 136.666550 238:255:000
631613.900634 225033.935637 218.792725 136.904663 243:255:000
631616.641019 225035.156412 221.792725 136.993912 245:255:000
631619.381404 225036.377186 224.792725 137.163513 250:255:000
631622.121789 225037.597961 227.792725 137.063522 247:255:000
631624.862174 225038.818736 230.792725 136.931091 244:255:000
631627.602559 225040.039510 233.792725 137.082565 248:255:000
631630.342943 225041.260285 236.792725 136.974609 245:255:000
631633.083328 225042.481060 239.792725 137.110992 248:255:000
631635.823713 225043.701835 242.792725 137.194656 250:255:000
631638.564098 225044.922609 245.792725 137.319534 253:255:000
631641.304483 225046.143384 248.792725 137.550323 255:253:000
631644.044868 225047.364159 251.792725 137.649460 255:252:000
631646.785253 225048.584933 254.792725 137.773712 255:251:000
631649.525637 225049.805708 257.792725 137.889511 255:249:000
631652.266022 225051.026483 260.792725 138.150970 255:246:000
631655.006407 225052.247257 263.792725 138.327820 255:244:000
631657.746792 225053.468032 266.792725 138.395523 255:243:000
631660.487177 225054.688807 269.792725 138.558960 255:241:000
631663.227562 225055.909581 272.792725 138.657074 255:240:000
631665.967946 225057.130356 275.792725 138.879715 255:237:000
631668.708331 225058.351131 278.792725 138.887344 255:237:000
631671.448716 225059.571906 281.792725 138.873749 255:237:000
631674.189101 225060.792680 284.792725 139.048004 255:235:000
631676.929486 225062.013455 287.792725 139.048004 255:235:000
631679.669871 225063.234230 290.792725 139.195587 255:233:000
631682.410256 225064.455004 293.792725 139.161514 255:234:000
631685.150640 225065.675779 296.792725 139.124191 255:234:000
