WGS84 UTM 17N
138.56278855539858 157.5514168618247 158.094
-272.9433801335981 -38.478743680752814 158.094
12.860005230410025 -361.4070093915798 158.194
-136.40254785306752 22.436955858021975 158.094
-122.79454569076188 226.32701565651223 158.194
336.6081346151186 -204.2994262627326 158.294
235.91656366281677 73.81675560958683 157.994
-154.36727296432946 -337.51085923518986 158.294
-288.7202143977629 197.99120879964903 157.994
17.52503925585188 296.44286816427484 157.994
-194.52065607870463 -230.0392387243919 158.094
-119.7518942807801 -34.582168275956064 157.894
307.5989358930383 -1.5212915516458452 158.094
-226.3741183906095 401.22609913535416 158.294
284.10334407154005 -163.44849038124084 157.994
289.20175164879765 -226.58082686830312 158.194
60.68946816329844 -339.11132728215307 158.194
232.71909834095277 -188.8732106317766 157.994
-244.57039520074613 165.66537438100204 158.094
-173.71403245278634 200.96452948777005 158.094
38.3186482792953 282.7641361975111 158.194
84.19026445457712 -0.4332030611112714 158.394
295.2945215104846 -92.05875783646479 157.994
249.73076024721377 59.19221319491044 157.994
-98.05803376855329 -89.54340361617506 157.994
12.63752810866572 301.31648055417463 158.094
-38.431067245895974 5.033521070610732 158.194
-180.88393837586045 132.1156716607511 158.094
170.95635272120126 -88.70921882102266 158.294
-114.43715788039844 295.6255506784655 158.194
-218.79548484249972 47.24606509786099 158.194
-260.2294988358626 355.2177207474597 157.994
244.22296538040973 -117.2944959551096 158.094
222.9582135088276 -260.6524220695719 158.194
19.793086546706036 230.1130893691443 158.194
238.51496181159746 -251.53940911684185 157.994
-229.28065479325596 370.3644460812211 157.994
-129.8716914568795 157.2859664997086 158.094
-194.0744738751091 190.78032571496442 158.194
-310.88674954825547 67.71187112666667 158.094
149.8955404367298 194.2887710495852 158.094
106.06709668179974 208.25025831675157 158.194
402.69493830390275 -104.30803942447528 158.194
-78.98542528739199 182.2409487743862 157.994
271.1272343895398 36.904015105217695 157.994
-18.229742827126756 15.04792468668893 158.294
182.03115668380633 -213.8869999665767 158.094
368.756950562587 -69.25657379999757 158.094
440.108624508488 -153.62279755203053 158.294
159.91603707545437 170.11782631790265 157.794
5.377408643485978 -104.34245744487271 158.194
49.56336297618691 -279.40375816542655 158.194
203.89590480993502 -270.17566997604445 158.194
-185.80597849574406 260.6964421248995 158.094
-208.75238128984347 -168.3737581614405 158.194
-209.41406829236075 380.4848821084015 157.994
-150.18282004701905 147.13979337690398 158.094
-85.32289623678662 309.8119838112034 158.194
-72.57430735894013 -339.89986756956205 158.194
327.6170216399478 -25.589175661560148 158.094
-118.24294204334728 -394.7071759114042 158.094
-296.17297552526 313.2747473176569 157.994
-47.66504644812085 344.3214122513309 157.994
314.9033645230811 -9.228304956573993 158.094
91.26486380153801 -192.75653705839068 157.994
-167.15396546851844 7.39624979859218 158.094
12.213003803277388 30.28250524122268 158.294
-290.35847760224715 341.5667221257463 157.794
276.5794263018761 30.75469020428136 157.994
457.53179551893845 -142.5426005651243 158.294
56.6484748814255 -78.58249969175085 157.894
-282.6173024774762 81.86284518288448 158.194
134.08862721920013 91.10718161333352 157.994
-224.62856389512308 175.59321986325085 158.094
-172.39807307324372 -192.8397542219609 158.094
-1.2282521976158023 -304.6500435206108 158.194
175.57394326874055 160.42852091416717 158.094
-73.0105634733336 363.0450783087872 158.094
128.13742251263466 -43.43300095619634 157.994
213.81717403954826 -132.39643580606207 158.094
340.2006417103112 -201.43903172761202 158.194
-189.9814037613105 -249.88377233874053 157.994
218.30766603385564 -261.5298427110538 157.994
108.61678837821819 -316.6003861594945 158.194
-239.27478443528526 299.3297698232345 158.194
-134.51927187666297 285.9162098346278 158.094
317.97178552427795 -213.65283777890727 158.294
131.29865129035898 -239.16049122670665 158.194
40.398536077467725 -218.00481726741418 157.994
-20.758867344469763 276.7645255923271 158.094
-168.896614033496 -124.83643739763647 158.194
-85.88445396721363 47.15833865618333 158.194
-114.21207661705557 380.83233649097383 158.194
-293.6680068577407 282.1792538370937 157.894
401.88536105072126 -96.18073027953506 157.994
-47.14340777893085 -64.44894382311031 157.994
229.88435426075011 6.868060906883329 157.994
88.19238505477551 -326.99629544699565 157.994
125.99361792975105 218.71813842607662 157.894
209.26588868687395 -3.023909800685942 157.994
-104.66423526941799 -414.19063644716516 157.794
40.98306599992793 -153.14209497859702 158.094
-296.1098082937533 8.090580115094781 157.994
-165.4347244282253 270.72984730592 158.094
-62.657820965512656 -203.91270934557542 157.994
-187.2587093131151 -2.8930815630592406 158.194
